created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Oct 24 12:31:14 +0000 2023;1716794475945804074;"Kenapa jehian posting ini? Ada berita apa Menantea? https://t.co/RkZqdysEEc";0;1;0;0;in;204545117;1716794475945804074;wchnf1;https://twitter.com/wchnf1/status/1716794475945804074
Tue Oct 24 11:40:45 +0000 2023;1716781773638807823;"Menantea muter Mengapa 😭😭😭😭😭😭  Seseneng itu.";0;0;0;0;in;1671823305115078656;1716781773638807823;desalmon13;https://twitter.com/desalmon13/status/1716781773638807823
Tue Oct 24 08:59:29 +0000 2023;1716741186554376595;"@convomfs mending jerome lah kalo jwbnya btul dpt bonus menantea😋";0;0;0;0;in;1339806295524700160;1716432188860964893;lovedyousomark;https://twitter.com/lovedyousomark/status/1716741186554376595
Tue Oct 24 05:40:34 +0000 2023;1716691130862178618;"@convomfs jerome aja deh lumayan dpt menantea😭👍";0;0;0;0;in;1381252361268592650;1716432188860964893;absenn16;https://twitter.com/absenn16/status/1716691130862178618
Tue Oct 24 04:58:42 +0000 2023;1716680593331933262;"Ajak bestie kamu jajan di Menantea buat dapetin cashback saktiiiii! 🥳    Dapetin 25% cashback hingga Rp10 Ribu kalo bayar pake QRIS blu min. Rp30 Ribu sampe 31 Desember 2023!    S&amp K: https://t.co/ISUtx4CpYT https://t.co/JV093nIujN";0;0;1;1;in;1295566743893504003;1716680593331933262;blubybcadigital;https://twitter.com/blubybcadigital/status/1716680593331933262
Tue Oct 24 04:37:03 +0000 2023;1716675146130551012;"@convomfs jerome aja, dikasih menantea";0;0;0;1;in;1425841425791340552;1716432188860964893;jekibahvmv;https://twitter.com/jekibahvmv/status/1716675146130551012
Tue Oct 24 04:31:08 +0000 2023;1716673654879387869;"@convomfs paling ditanya 1+1x0 doang hbs itu dapet menantea 😋";0;0;0;0;in;1284164257169281025;1716432188860964893;maikeulimnida;https://twitter.com/maikeulimnida/status/1716673654879387869
Tue Oct 24 03:11:06 +0000 2023;1716653515882574268;"@convomfs Jeromee!! Walaupun gabisa jawab tetep dapet menantea, kalau nawid udah haus dapet malu wkwk";0;0;0;0;in;1409488419441369093;1716432188860964893;cutepumpie;https://twitter.com/cutepumpie/status/1716653515882574268
Tue Oct 24 02:17:57 +0000 2023;1716640139202732476;"THANKS BUAT YANG UDAH SPEAKUP PAS LAGI NYARI KEYWORD MENANTEA";0;0;0;0;in;799203493068185600;1716640139202732476;ddiminssi;https://twitter.com/ddiminssi/status/1716640139202732476
Tue Oct 24 02:17:35 +0000 2023;1716640046772879504;"MATCHA LATTENYA MENANTEA ENAK BANGET???";0;0;0;0;in;799203493068185600;1716640046772879504;ddiminssi;https://twitter.com/ddiminssi/status/1716640046772879504
Mon Oct 23 23:16:41 +0000 2023;1716594522568953895;"@dyonigiri wkwkw manteb nih lip 😂 jadi inget waktu ke menantea, lagu yg diputer bener2 exo semua";0;0;0;1;in;1282999875706093573;1716383032335376446;brokolieyy;https://twitter.com/brokolieyy/status/1716594522568953895
Mon Oct 23 15:42:50 +0000 2023;1716480307652932052;"Siapa yang suka sama menantea!? Minuman fav nyegerin🤤😋🥶  📍Pakuwon mall surabaya #bbtvi #QuienEsLaMascara https://t.co/ltI2Jvy00T";0;0;0;1;in;1537049921819668480;1716480307652932052;Hylenn2;https://twitter.com/Hylenn2/status/1716480307652932052
Mon Oct 23 15:30:42 +0000 2023;1716477252555493621;"@Kageoama ketemu jerome entar kamu ajakin duel trigonometri lumayan nanti dapet menantea";0;0;0;0;in;1540696777241686018;1716440807555977563;iefearless;https://twitter.com/iefearless/status/1716477252555493621
Mon Oct 23 12:08:59 +0000 2023;1716426489124798796;"@pimcomission Aku klo cocok sama plotnya biarpun on going akan ku akan setia menantea😭😭☝🏻";0;0;0;0;in;1583648406547103745;1716388846525636647;shivnharam;https://twitter.com/shivnharam/status/1716426489124798796
Mon Oct 23 10:23:27 +0000 2023;1716399932322857194;"@discountfess Asli sampe eneg dulu janjiw sm menantea tiap hari🥲";0;2;0;1;in;1362378952837238785;1716399067130196256;bigwinyook;https://twitter.com/bigwinyook/status/1716399932322857194
Mon Oct 23 10:21:13 +0000 2023;1716399368335724708;"Ada 13 kode promo Grab terbaru 24 Oktober 2023 yang siap memberikan kamu diskon menarik. Salah satunya, beli di Menantea dapat diskom 25 %  #portalyogya #Gojek #KodePromoGojek   https://t.co/HUzxcxtcRQ";0;0;0;1;in;1446104962279219200;1716399368335724708;portalyogya;https://twitter.com/portalyogya/status/1716399368335724708
Sun Oct 22 13:04:22 +0000 2023;1716078039581553030;"Dari yg udah-udah, semua resto punya artis atau selebgram di Depok macam Gigieat Cake, Traffic Bun, Ayam Gedebuk, Menantea, Geprek Bensu, Bakso Pak Muh, pada gak bertahan lama. Let’s see Payakumbuah kuat berapa lama.";0;0;0;1;in;236215022;1716078039581553030;wirashalci;https://twitter.com/wirashalci/status/1716078039581553030
Sun Oct 22 11:23:15 +0000 2023;1716052593527652519;"@ub_mfs bunga camalia nder sblh menantea";0;0;0;0;in;1291403370104647680;1716048003633717285;aessusu;https://twitter.com/aessusu/status/1716052593527652519
Sat Oct 21 16:34:06 +0000 2023;1715768433831444668;"@menqntea fb kak menantea ak mw beli donk tehnya 😋😋😋";0;0;0;0;in;780578844105322498;1714503058816991343;milkivt;https://twitter.com/milkivt/status/1715768433831444668
Sat Oct 21 15:07:01 +0000 2023;1715746518710579302;"MATCHANYA MENANTEA ENAK BGT SUMPAH GA BOHONG 100000000000000/10";0;0;0;0;in;1202896322598072321;1715746518710579302;korapaatt;https://twitter.com/korapaatt/status/1715746518710579302
Sat Oct 21 13:08:28 +0000 2023;1715716682835231097;"@bae2dinternet Setelah sekian lama menantea😥";0;0;0;0;in;1136868041445167104;1715716169918042457;YEJI00DC;https://twitter.com/YEJI00DC/status/1715716682835231097
